Drug Type,Name,Batch No,Description,Stock,Manufacturing Date,Expiration Date,Price,Category
Antibiotic,Amoxicillin 500mg,AMX2024001,Broad-spectrum antibiotic for bacterial infections,500,15-01-2024,15-01-2027,45.50,IPD
Antibiotic,Azithromycin 250mg,AZT2024002,Macrolide antibiotic for respiratory infections,300,20-02-2024,20-02-2026,65.00,OPD
Analgesic,Paracetamol 500mg,PCM2024003,Pain reliever and fever reducer,1000,10-03-2024,10-03-2026,12.50,OPD
Analgesic,Ibuprofen 400mg,IBU2024004,NSAID for pain and inflammation,800,05-01-2024,05-01-2027,28.75,IPD
Antihistamine,Cetirizine 10mg,CET2024005,Antihistamine for allergies and hay fever,600,12-04-2024,12-04-2027,18.00,OPD
Antacid,Omeprazole 20mg,OMP2024006,Proton pump inhibitor for acid reflux,400,08-02-2024,08-02-2026,35.00,IPD
Vitamin,Vitamin D3 60K IU,VITD2024007,Vitamin D supplement for deficiency,250,25-03-2024,25-03-2027,85.00,OUTREACH
Vitamin,Vitamin B Complex,VITB2024008,B-complex vitamin supplement,350,18-01-2024,18-01-2026,42.00,OUTREACH
Antidiabetic,Metformin 500mg,MET2024009,Oral hypoglycemic for type 2 diabetes,450,22-02-2024,22-02-2027,55.50,IPD
Antihypertensive,Amlodipine 5mg,AML2024010,Calcium channel blocker for hypertension,300,14-03-2024,14-03-2026,38.00,IPD
Antihypertensive,Losartan 50mg,LOS2024011,ARB for blood pressure control,280,01-04-2024,01-04-2027,48.50,IPD
Antiplatelet,Aspirin 75mg,ASP2024012,Low dose aspirin for cardiovascular protection,500,10-01-2024,10-01-2026,15.00,IPD
Corticosteroid,Prednisone 10mg,PRD2024013,Corticosteroid for inflammation and allergies,200,28-02-2024,28-02-2026,75.00,IPD
Antifungal,Fluconazole 150mg,FLU2024014,Antifungal for fungal infections,150,15-03-2024,15-03-2027,95.00,IPD
Bronchodilator,Salbutamol 4mg,SAL2024015,Bronchodilator for asthma and COPD,400,05-04-2024,05-04-2026,22.00,OPD
Laxative,Lactulose Solution,LAC2024016,Osmostic laxative for constipation,300,12-01-2024,12-01-2027,65.00,IPD
Antiemetic,Ondansetron 4mg,OND2024017,Anti-nausea medication for chemotherapy,180,20-03-2024,20-03-2026,120.00,IPD
Sedative,Zolpidem 10mg,ZOL2024018,Sedative-hypnotic for insomnia,120,08-02-2024,08-02-2027,150.00,IPD
Anticonvulsant,Gabapentin 300mg,GAB2024019,Anticonvulsant for neuropathic pain,220,25-04-2024,25-04-2026,88.00,IPD
Anticoagulant,Warfarin 5mg,WAR2024020,Oral anticoagulant for blood thinning,150,30-01-2024,30-01-2027,110.00,IPD
